Country/Region,New cases,Confirmed,Deaths,Recovered,Mortality Rate,Recovery Rate
US,4346594.0,452982155.0,22170833.0,114032636.0,3.8520659800630916,16.762235431615782
Brazil,2465659.0,181492309.0,7963686.0,110832387.0,4.312431197911126,35.71765664443442
India,1524530.0,83247001.0,2257070.0,48518606.0,2.193635593928984,37.235621574181614
Russia,822287.0,91633502.0,1252104.0,50843145.0,0.8013792304530084,38.42104711750226
South Africa,459625.0,22790015.0,371025.0,11947771.0,1.4062919956558837,34.85213099720706
Peru,403473.0,38917549.0,1322644.0,21998239.0,2.709794632193977,38.488795879345346
Mexico,400462.0,30287893.0,3500576.0,22586260.0,8.135153420753253,50.695691567227705
Chile,350056.0,34219231.0,654147.0,26905140.0,1.1097961835488597,43.91846779616084
United Kingdom,302396.0,53798882.0,8041394.0,253871.0,5.784806195743918,52.42469668876245
Iran,296040.0,38972140.0,2064184.0,30656934.0,6.836396451576902,62.50650826067429
